time[s];Vsg[mV];pH/ion concentration [mM]
4410.11;2339.86;-3.352
4415.09;2340.05;-3.360
4420.08;2339.89;-3.352
4425.01;2339.84;-3.350
4430.28;2339.85;-3.350
4435.27;2340.15;-3.360
4440.25;2339.80;-3.350
4445.24;2339.75;-3.350
4450.23;2339.95;-3.350
4455.21;2339.85;-3.350
4460.20;2339.85;-3.350
4465.18;2339.90;-3.350
4470.17;2339.75;-3.350
4475.15;2339.75;-3.350
4480.14;2339.80;-3.350
4485.13;2339.95;-3.350
4490.11;2340.00;-3.360
4495.10;2340.10;-3.360
4500.08;2340.25;-3.360
4505.07;2340.20;-3.360
4510.06;2340.10;-3.360
4515.04;2340.00;-3.360
4520.03;2339.85;-3.350
4525.02;2340.10;-3.360
4530.60;2340.03;-3.358
4535.59;2340.14;-3.360
4540.58;2339.91;-3.350
4545.56;2339.93;-3.350
4550.55;2340.01;-3.358
4555.53;2340.02;-3.360
4560.52;2340.06;-3.360
4565.50;2340.14;-3.360
4570.49;2340.25;-3.360
4575.48;2340.37;-3.360
4580.46;2340.19;-3.360
4585.45;2340.12;-3.360
4590.44;2340.30;-3.360
4595.42;2340.36;-3.360
4600.41;2340.02;-3.360
4605.40;2340.24;-3.360
4610.38;2340.16;-3.360
4615.37;2340.13;-3.360
4620.36;2340.05;-3.360
4625.34;2340.14;-3.360
4630.33;2340.21;-3.360
4635.32;2340.14;-3.360
4640.30;2340.11;-3.360
4645.29;2340.12;-3.360
4650.28;2340.04;-3.360
4655.26;2340.24;-3.360
4660.25;2340.10;-3.360
4665.23;2340.14;-3.360
4670.22;2340.10;-3.360
4675.21;2339.95;-3.350
4680.19;2340.13;-3.360
